dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_src_dport_ltm,ct_dst_sport_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,is_sm_ips_ports,attack_cat,label
0.008712,tcp,ftp-data,FIN,8,12,424,8824,2180.9,340679.5,7427915.5,1,4,1.200857,0.751273,86.53457,47.971058,255,3314423833,1175997805,255,0.000561,0.000441,0.00012,53,735,0,0,1,1,0,0,0,0,Normal,0
0.492008,tcp,http,FIN,10,10,754,4212,38.617256,11040.471,61641.273,2,3,54.552444,48.51178,2876.409,3016.3396,255,2355587100,369805848,255,0.15807,0.055393,0.102677,75,421,1,1663,1,1,0,0,1,0,Exploits,1
0.001055,udp,dns,CON,2,2,130,162,2843.6018,492891.0,614218.0,0,0,0.008,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,1,1,0,0,0,0,Normal,0
0.032607,tcp,-,FIN,66,68,3926,57474,4078.8787,948753.3,13893704.0,7,27,0.501797,0.437636,0.0,24.366058,255,2260451213,126469939,255,0.003867,0.003721,0.000146,59,845,0,0,1,1,0,0,0,0,Normal,0
0.341965,tcp,-,FIN,12,10,3126,443,61.409794,67047.8,9334.289,3,3,31.087729,35.58767,1642.3909,54.38322,255,898264236,2815422549,255,0.062306,0.014338,0.047968,261,44,0,0,1,1,0,0,0,0,Exploits,1
6e-06,unas,-,INT,2,0,200,0,166666.66,133333330.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,Reconnaissance,1
1e-06,vmtp,-,INT,2,0,200,0,1000000.0,800000000.0,0.0,0,0,0.001,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Exploits,1
0.001036,udp,dns,CON,2,2,132,164,2895.753,509652.53,633204.6,0,0,0.01,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,2,1,0,0,0,0,Normal,0
6e-06,udp,-,INT,2,0,168,0,166666.66,112000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,1,0,0,0,0,Reconnaissance,1
0.202292,tcp,-,FIN,10,6,1370,268,74.15024,48761.2,8858.482,2,1,20.719667,38.651604,1192.1615,64.260216,255,1312978362,3694575876,255,0.059991,0.009028,0.050963,137,45,0,0,1,1,0,0,0,0,Exploits,1
4e-06,udp,dns,INT,2,0,114,0,250000.0,114000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,7,3,0,0,0,0,Generic,1
9e-06,udp,-,INT,2,0,258,0,111111.11,114666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,129,0,0,0,3,1,0,0,0,0,Fuzzers,1
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,13,13,0,0,0,0,Generic,1
0.001079,udp,dns,CON,2,2,146,178,2780.3523,541241.94,659870.25,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,1,0,0,0,0,Normal,0
8e-06,udp,-,INT,2,0,168,0,125000.0,84000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,1,0,0,0,0,Reconnaissance,1
4e-06,udp,-,INT,2,0,1064,0,250000.0,1064000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,4,1,0,0,0,0,Fuzzers,1
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,16,16,0,0,0,0,Generic,1
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,14,0,0,0,0,Generic,1
0.004581,udp,-,CON,4,4,568,304,1528.0505,743942.3,398166.3,0,0,1.17,1.053,1.646854,1.482096,0,0,0,0,0.0,0.0,0.0,142,76,0,0,1,1,0,0,0,0,Normal,0
8e-06,pgm,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,DoS,1
5e-06,udp,-,INT,2,0,168,0,200000.0,134400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,1,0,0,0,0,Reconnaissance,1
1e-05,udp,dns,INT,2,0,114,0,100000.0,45600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,4,4,0,0,0,0,Generic,1
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,18,18,0,0,0,0,Generic,1
1.217182,tcp,-,CON,6,2,998,86,5.750989,5468.3687,282.62,2,1,243.4364,0.005,12827.335,0.0,255,190961443,1754679091,255,0.40578,0.252524,0.153256,166,43,0,0,1,1,0,0,0,0,Normal,0
0.722102,tcp,-,FIN,10,8,614,354,23.542381,6126.5586,3434.418,2,1,76.468,91.51529,4784.756,136.89534,255,2384261958,4143956105,255,0.14514,0.081488,0.063652,61,44,0,0,1,1,0,0,0,0,Normal,0
0.052165,tcp,-,FIN,40,42,2542,23508,1552.7653,380178.28,3519447.8,7,14,1.327462,1.260634,85.25986,81.8528,255,3179880551,3260034871,255,0.000599,0.000476,0.000123,64,560,0,0,1,1,0,0,0,0,Normal,0
1.015429,tcp,http,FIN,14,18,1684,10168,30.528969,12321.886,75664.57,3,5,78.08185,59.68288,8765.153,7674.787,255,1856815559,1857831900,255,0.000977,0.000815,0.000162,120,565,1,3924,2,1,0,0,1,0,Normal,0
0.090869,tcp,-,FIN,60,62,3614,50036,1331.5872,312889.97,4334063.0,7,24,1.534949,1.480721,90.00756,88.17572,255,898835588,3048650499,255,0.000701,0.00054,0.000161,60,807,0,0,1,1,0,0,0,0,Normal,0
3e-06,sctp,-,INT,2,0,78,0,333333.3,104000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,1,1,0,0,0,0,Reconnaissance,1
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,16,16,0,0,0,0,Generic,1
0.158172,tcp,-,FIN,90,164,5592,192828,1599.5247,279695.53,9693397.0,10,71,1.773607,0.967362,98.804146,65.739265,255,1870682322,1874214137,255,0.00062,0.000488,0.000132,62,1176,0,0,6,1,0,0,0,0,Normal,0
1.022258,tcp,-,FIN,12,8,1254,758,18.586306,8999.685,5196.34,3,2,92.84618,128.78471,4737.809,171.91559,255,2286155096,2536148607,255,0.230752,0.120759,0.109993,105,95,0,0,1,1,0,0,0,0,Fuzzers,1
0.0,arp,-,INT,1,0,46,0,0.0,0.0,0.0,0,0,60000.64,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,1,0,0,0,1,Normal,0
0.004103,tcp,-,FIN,12,12,1064,2260,5605.655,1902997.9,4039971.0,4,4,0.342455,0.316545,17.172455,0.38124,255,1682760343,1683065144,255,0.000748,0.000606,0.000142,89,188,0,0,1,1,0,0,0,0,Normal,0
0.004633,udp,-,CON,4,4,568,304,1510.9,735592.5,393697.38,0,0,1.212667,1.028333,1.70295,1.445799,0,0,0,0,0.0,0.0,0.0,142,76,0,0,1,1,0,0,0,0,Normal,0
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,6,3,0,0,0,0,Generic,1
1.290665,tcp,ftp,FIN,52,54,2934,3740,81.35341,17838.865,22754.16,11,15,25.300941,24.342585,1973.0371,59.58074,255,2182063705,2229865346,255,0.000628,0.000505,0.000123,56,69,0,0,1,1,1,1,0,0,Normal,0
0.202197,tcp,-,FIN,10,6,610,268,74.185074,21721.39,8862.644,2,1,21.608,38.963398,1128.763,62.24956,255,483892153,3552197575,255,0.051587,0.007376,0.044211,61,45,0,0,1,1,0,0,0,0,Fuzzers,1
3e-06,unas,-,INT,2,0,200,0,333333.3,266666660.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,Analysis,1
1.265512,tcp,http,FIN,12,32,904,33884,33.978344,5240.567,207511.27,2,13,114.964,37.59558,6830.937,4427.5757,255,2876228022,3590227951,255,0.149494,0.100045,0.049449,75,1059,1,16036,1,1,0,0,1,0,Exploits,1
0.017022,tcp,-,FIN,48,50,2974,30506,5698.508,1369051.8,14050522.0,7,18,0.353511,0.341521,19.4684,19.242935,255,3634184218,1489092029,255,0.000762,0.00062,0.000142,62,610,0,0,1,1,0,0,0,0,Normal,0
1.380601,tcp,http,FIN,14,12,1798,3482,18.108055,9676.944,18496.291,4,4,106.20008,107.859726,5142.542,149.31493,255,1830324607,3527177637,255,0.119241,0.052518,0.066723,128,290,1,183,1,1,0,0,1,0,Exploits,1
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,8,8,0,0,0,0,Generic,1
0.047722,tcp,ftp-data,FIN,6,8,320,2002,272.41104,44759.23,293701.0,1,2,9.4702,6.742286,659.63776,16.015171,255,3880184267,1755236030,255,0.000697,0.000522,0.000175,53,250,0,0,1,1,0,0,0,0,Normal,0
0.738771,tcp,ftp,FIN,14,14,698,924,36.547184,7027.888,9291.106,4,5,56.828537,53.25846,3100.7354,86.71975,255,2443060774,2725351733,255,0.091156,0.045807,0.045349,50,66,0,0,1,1,0,0,0,0,DoS,1
7e-06,udp,dns,INT,2,0,114,0,142857.14,65142856.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,4,4,0,0,0,0,Generic,1
0.447551,udp,dns,CON,2,2,148,248,6.703147,1322.7543,2216.507,0,0,0.005,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,74,124,0,0,1,1,0,0,0,0,Exploits,1
0.028889,tcp,-,FIN,68,70,4014,59460,4742.2896,1095226.5,16230676.0,7,28,0.433076,0.411029,22.234575,21.787521,255,135630471,2290872205,255,0.000643,0.000525,0.000118,59,849,0,0,1,1,0,0,0,0,Normal,0
7e-06,unas,-,INT,2,0,200,0,142857.14,114285710.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,DoS,1
5e-06,udp,dns,INT,2,0,114,0,200000.0,91200000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,14,14,0,0,0,0,Generic,1
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,6,2,0,0,0,0,Generic,1
0.013664,tcp,-,FIN,44,46,2766,24004,6513.4663,1583138.2,13748829.0,7,16,0.309442,0.291289,18.133047,15.751189,255,963325369,969596940,255,0.00074,0.000552,0.000188,63,522,0,0,1,1,0,0,0,0,Normal,0
9e-06,unas,-,INT,2,0,200,0,111111.11,88888890.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,Exploits,1
9e-06,udp,dns,INT,2,0,114,0,111111.11,50666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,25,25,0,0,0,0,Generic,1
8e-06,unas,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,3,3,0,0,0,0,Analysis,1
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,17,17,0,0,0,0,Generic,1
0.86006,tcp,smtp,FIN,20,20,3632,1824,45.345676,32100.088,16119.806,7,8,45.266315,44.77079,2146.221,50.236633,255,3804286093,3400691111,255,0.054142,0.008801,0.045341,182,91,0,0,1,1,0,0,0,0,Exploits,1
1.591721,tcp,http,FIN,10,8,870,354,10.680263,3935.3628,1558.0619,2,1,176.74644,208.04228,9702.352,354.00632,255,3074598512,663174889,255,0.233822,0.135402,0.09842,87,44,1,0,1,1,0,0,1,0,Exploits,1
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,33,17,0,0,0,0,Generic,1
9e-06,udp,-,INT,2,0,168,0,111111.11,74666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,1,0,0,0,0,Reconnaissance,1
0.75749,tcp,-,FIN,10,8,876,354,22.442541,8332.783,3273.9707,2,1,82.357445,96.22171,5422.507,141.85939,255,2345766932,914831374,255,0.149023,0.083932,0.065091,88,44,0,0,4,1,0,0,0,0,Normal,0
0.0,arp,-,INT,1,0,46,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,1,0,0,0,1,Normal,0
0.001114,udp,dns,CON,2,2,146,178,2692.9983,524237.0,639138.25,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,1,0,0,0,0,Normal,0
3.370723,tcp,pop3,FIN,26,64,1214,63226,26.403831,2772.1055,147716.67,7,30,134.82776,51.400066,6818.7593,4296.7305,255,320163467,3417791852,255,0.214558,0.132517,0.082041,47,988,0,0,1,1,0,0,0,0,Exploits,1
0.00101,udp,dns,CON,2,2,130,162,2970.297,514851.47,641584.1,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,1,0,0,0,0,Normal,0
3e-06,udp,dns,INT,2,0,114,0,333333.3,152000000.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,33,16,0,0,0,0,Generic,1
7e-06,unas,-,INT,2,0,200,0,142857.14,114285710.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,DoS,1
1.396183,tcp,-,FIN,10,8,2574,354,12.176054,13276.196,1776.2715,2,1,150.43233,181.85387,8765.191,358.25873,255,2393604911,634875257,255,0.207007,0.123197,0.08381,257,44,0,0,1,1,0,0,0,0,Fuzzers,1
5e-06,unas,-,INT,2,0,200,0,200000.0,160000000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,2,2,0,0,0,0,Exploits,1
0.654505,tcp,-,FIN,10,8,564,354,25.973827,6209.2725,3789.123,2,1,71.837776,91.90757,5549.7056,140.19826,255,1366217846,3082470408,255,0.066428,0.011145,0.055283,56,44,0,0,1,1,0,0,0,0,Reconnaissance,1
0.393004,tcp,-,FIN,10,6,490,268,38.16755,8977.008,4559.75,2,1,43.66711,62.0528,2178.6877,95.57958,255,2012742801,3187491168,255,0.15067,0.082058,0.068612,49,45,0,0,2,2,0,0,0,0,Fuzzers,1
8e-06,udp,dns,INT,2,0,114,0,125000.0,57000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,57,0,0,0,6,2,0,0,0,0,Generic,1
3e-06,merit-inp,-,INT,2,0,200,0,333333.3,266666660.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,DoS,1
1e-05,udp,-,INT,2,0,168,0,100000.0,67200000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,84,0,0,0,1,1,0,0,0,0,Reconnaissance,1
1.039698,tcp,-,FIN,16,12,940,678,25.969078,6786.586,4786.0054,4,4,69.313194,87.52382,3674.0254,148.0007,255,1000692647,4232242993,255,0.08482,0.063576,0.021244,59,57,0,0,1,1,0,0,0,0,Normal,0
0.627753,tcp,ftp-data,FIN,8,8,364,776,23.894749,4065.293,8653.085,1,2,89.679,82.94157,6139.6406,167.45367,255,4280914857,3920712131,255,0.108892,0.046557,0.062335,46,97,0,0,1,1,0,0,0,0,Exploits,1
0.224636,tcp,ftp-data,FIN,14,6,8928,320,84.581276,295268.78,9508.716,4,1,17.279692,44.771397,1594.3287,68.43541,255,2042715020,2351417506,255,0.000767,0.000649,0.000118,638,53,0,0,1,1,0,0,0,0,Normal,0
0.874953,tcp,-,FIN,10,8,534,354,19.429617,4397.9507,2834.438,2,1,92.25755,112.85586,5134.5186,217.35423,255,915876873,3280769855,255,0.171305,0.084957,0.086348,53,44,0,0,1,1,0,0,0,0,Normal,0
2.700696,tcp,-,FIN,12,10,3022,816,7.775773,8208.255,2177.2166,3,2,242.11499,274.51843,14622.334,526.8746,255,3874289992,2708415339,255,0.357219,0.230026,0.127193,252,82,0,0,1,1,0,0,0,0,Fuzzers,1
8e-06,compaq-peer,-,INT,2,0,200,0,125000.0,100000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,100,0,0,0,1,1,0,0,0,0,DoS,1
1.114533,tcp,-,FIN,60,14,68187,612,65.49829,481285.0,4084.222,27,1,18.873304,79.20292,1879.4915,95.99356,255,2570014948,500548215,255,0.119558,0.084892,0.034666,1136,44,1,0,1,1,0,0,1,0,Fuzzers,1
1.667097,tcp,-,FIN,10,8,600,354,10.197367,2591.331,1487.616,2,1,185.233,222.588,10781.429,339.74286,255,604490189,2540342806,255,0.173379,0.108676,0.064703,60,44,0,0,1,1,0,0,0,0,Fuzzers,1
6e-06,udp,-,INT,2,0,78,0,166666.66,52000000.0,0.0,0,0,0.006,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,3,1,0,0,0,0,Normal,0
