L4_SRC_PORT,L4_DST_PORT,PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label,Attack
44059,6839,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
57476,53,17,0.0,71,1,71,1,0,0,0,0,0,0,0,0,71,71,71,71,71.0,71.0,0,0,0,0,568000,568000,2,0,0,0,0,0,0,0,0,60376,1,0,0,1,mitm
54216,443,6,0.0,1079,8,2215,8,31,30,27,0,0,0,64,64,1408,52,52,1408,1079.0,2215.0,0,0,0,0,8632000,17720000,11,1,3,0,1,29200,28960,0,0,0,0,0,0,1,injection
35208,21,6,1.0,121,3,210,3,24,24,24,0,0,0,64,64,105,52,52,105,344.0,375.0,0,0,0,0,2280000,2704000,11,0,0,0,0,229,46,0,0,0,0,0,530,1,password
39572,80,6,7.0,9737,36,15873,28,28,28,24,4294951,16,16,64,64,571,52,52,571,9737.0,15873.0,0,0,0,0,4576000,7464000,11,0,25,28,0,480,478,0,0,0,0,0,0,1,password
40844,443,6,91.0,60,1,0,0,2,2,0,0,0,0,0,0,60,60,0,60,60.0,0.0,0,0,0,0,480000,0,1,0,0,0,0,29200,0,0,0,0,0,0,0,1,ddos
33000,443,6,91.0,164,3,112,2,19,18,19,4294888,79,79,64,64,60,52,52,60,164.0,112.0,0,0,0,0,16000,8000,5,0,0,0,0,29200,28960,0,0,0,0,0,0,1,ddos
53742,53,17,0.0,71,1,71,1,0,0,0,0,0,0,0,0,71,71,71,71,71.0,71.0,0,0,0,0,568000,568000,2,0,0,0,0,0,0,0,0,20464,1,0,0,1,dos
59595,53,17,0.0,72,1,118,1,0,0,0,0,0,0,0,0,118,72,72,118,72.0,118.0,0,0,0,0,576000,944000,2,0,0,0,0,0,0,0,0,23908,28,86400,0,0,Benign
15567,22259,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
38010,80,6,7.0,870,12,2940,11,27,27,27,4294654,313,313,64,64,1500,40,40,1500,870.0,2940.0,0,0,0,0,16000,72000,19,0,2,1,1,29200,65535,0,0,0,0,0,0,1,password
25865,60495,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
12850,4748,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
55006,53,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,51647,1,504,0,1,xss
57983,1071,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
9716,16024,6,0.0,48,1,40,1,22,2,20,0,0,0,0,0,48,40,40,48,48.0,40.0,0,0,0,0,384000,320000,2,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
37564,58736,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
60931,53,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,4891,28,0,0,1,xss
39868,80,6,7.0,2722,7,1450,4,27,27,27,0,0,0,64,64,1500,52,52,1500,2722.0,1450.0,0,0,0,0,21776000,11600000,8,0,0,1,2,29200,28960,0,0,0,0,0,0,1,xss
44700,443,6,91.0,276,5,172,3,19,18,19,4294545,422,422,64,64,60,52,52,60,164112.0,11260.0,0,0,0,0,24000,8000,8,0,0,0,0,29200,28960,0,0,0,0,0,0,1,ddos
50321,53,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,48674,28,0,0,1,xss
52923,3766,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
34368,80,6,7.0,525,6,733,4,27,27,27,0,0,0,64,64,601,40,40,601,525.0,733.0,0,0,0,0,4200000,5864000,8,0,1,1,0,29200,65535,0,0,0,0,0,0,1,xss
37602,2850,6,0.0,48,1,40,1,22,2,20,0,0,0,0,0,48,40,40,48,48.0,40.0,0,0,0,0,384000,320000,2,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
49841,22,6,92.0,84,2,44,1,22,6,18,0,0,0,64,64,44,40,40,44,84.0,44.0,0,0,0,0,672000,352000,3,0,0,0,0,1024,29200,0,0,0,0,0,0,0,Benign
14857,12232,6,0.0,48,1,40,1,22,2,20,0,0,0,0,0,48,40,40,48,48.0,40.0,0,0,0,0,384000,320000,2,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
52499,53,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,44536,1,3136,0,1,xss
50361,5907,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
4710,20615,6,0.0,40,1,0,0,20,20,0,0,0,0,0,0,40,40,0,40,40.0,0.0,0,0,0,0,320000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,scanning
30041,59292,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
36542,56061,6,0.0,60,1,40,1,22,2,20,0,0,0,0,0,60,40,40,60,60.0,40.0,0,0,0,0,480000,320000,2,0,0,0,0,29200,0,0,0,0,0,0,0,1,ddos
36492,53,17,0.0,138,2,234,2,0,0,0,0,0,0,64,64,117,69,69,117,138.0,234.0,0,0,0,0,1104000,1872000,4,0,0,0,0,0,0,0,0,11171,1,604800,0,0,Benign
46884,80,6,7.0,465,5,202,2,30,30,26,0,0,0,64,64,285,40,40,285,465.0,202.0,0,0,0,0,3720000,1616000,5,1,1,0,0,29200,65535,0,0,0,0,0,0,0,Benign
44928,53,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,30378,1,20,0,1,xss
58948,80,6,7.0,526,10,2393,9,27,27,27,4294607,360,360,64,64,1500,40,40,1500,526.0,2393.0,0,0,0,0,8000,48000,17,0,0,1,1,29200,65535,0,0,0,0,0,0,1,password
35586,53,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,12419,1,37,0,1,xss
59634,443,6,91.0,112,2,112,2,19,18,19,4294920,47,47,64,64,60,52,52,60,112.0,112.0,0,0,0,0,16000,16000,4,0,0,0,0,29200,28960,0,0,0,0,0,0,1,ddos
5315,61524,6,0.0,48,1,40,1,22,2,20,0,0,0,0,0,48,40,40,48,48.0,40.0,0,0,0,0,384000,320000,2,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
55156,80,6,7.0,10287,12,784,11,27,27,27,0,0,0,64,64,1500,52,52,1500,10287.0,784.0,0,0,0,0,82296000,6272000,15,1,0,1,6,29200,5792,0,0,0,0,0,0,1,xss
50624,80,6,7.0,3607,10,3934,7,27,27,27,0,0,0,64,64,1500,40,40,1500,3607.0,3934.0,0,0,0,0,28856000,31472000,11,0,1,1,4,29200,65535,0,0,0,0,0,0,1,xss
52074,80,6,7.0,164,3,112,2,19,18,19,4294889,78,78,64,64,60,52,52,60,11252.0,6052.0,0,0,0,0,896000,480000,5,0,0,0,0,29200,28960,0,0,0,0,0,0,1,injection
58249,3801,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
34220,15004,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
33296,5922,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
49964,17547,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
41896,80,6,7.0,596,5,751,5,27,27,27,0,0,0,64,64,535,52,52,535,596.0,751.0,0,0,0,0,4768000,6008000,8,0,1,1,0,29200,28960,0,0,0,0,0,0,1,xss
38366,4126,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
43614,443,6,91.0,328,6,224,4,19,18,19,4294498,469,469,64,64,60,52,52,60,328.0,224.0,0,0,0,0,0,0,10,0,0,0,0,29200,28960,0,0,0,0,0,0,1,ddos
49462,443,6,91.0,276,5,172,3,19,18,19,4294545,422,422,64,64,60,52,52,60,276.0,172.0,0,0,0,0,0,0,8,0,0,0,0,29200,28960,0,0,0,0,0,0,1,ddos
40065,2126,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
45476,53,17,0.0,69,1,117,1,0,0,0,0,0,0,0,0,117,69,69,117,69.0,117.0,0,0,0,0,552000,936000,2,0,0,0,0,0,0,0,0,55501,1,604800,0,0,Benign
46266,443,6,91.0,224,4,120,2,18,18,18,4294577,390,390,64,64,60,52,52,60,224.0,120.0,0,0,0,0,0,0,6,0,0,0,0,29200,28960,0,0,0,0,0,0,1,ddos
53875,53,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,6600,28,0,0,1,xss
44010,10024,6,0.0,44,1,40,1,22,2,20,0,0,0,0,0,44,40,40,44,44.0,40.0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
38748,80,6,7.0,1251,10,1502,10,27,27,27,4294108,859,859,64,64,535,52,52,535,612639.0,751751.0,0,0,0,0,4760000,5768000,16,0,2,2,0,29200,28960,0,0,0,0,0,0,1,xss
32812,80,6,7.0,438,5,3310,7,27,27,27,0,0,0,64,64,1500,52,52,1500,438.0,3310.0,0,0,0,0,3504000,26480000,9,1,0,0,2,29200,28960,0,0,0,0,0,0,1,password
46172,443,6,91.0,276,5,172,3,19,18,19,4294577,390,390,64,64,60,52,52,60,276.0,172.0,0,0,0,0,0,0,8,0,0,0,0,29200,28960,0,0,0,0,0,0,1,ddos
57721,2288,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
57757,8010,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
54728,53,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,47449,1,2919,0,1,xss
64480,9500,6,0.0,44,1,40,1,22,2,20,0,0,0,0,0,44,40,40,44,44.0,40.0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
45007,3784,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
41754,99,6,0.0,44,1,40,1,22,2,20,0,0,0,0,0,44,40,40,44,44.0,40.0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
35084,7007,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
45612,80,6,7.0,423,5,919,5,27,27,27,0,0,0,64,64,703,52,52,703,423.0,919.0,0,0,0,0,3384000,7352000,8,1,0,1,0,29200,28960,0,0,0,0,0,0,1,password
65189,8080,6,131.0,1440,30,1200,30,22,2,20,4294951,16,16,128,128,48,40,40,48,1440.0,1200.0,0,0,0,0,672000,560000,60,0,0,0,0,8192,0,0,0,0,0,0,0,1,backdoor
45868,5988,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
58300,80,6,7.178,3593,8,1897,6,27,27,27,4294963,4,4,64,64,1500,52,52,1500,3593.0,1897.0,0,0,0,0,5744000,3032000,9,1,1,0,3,29200,26847,0,0,0,0,0,0,1,xss
54727,18338,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
51022,33704,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
65099,5560,6,0.0,44,1,40,1,22,2,20,0,0,0,0,0,44,40,40,44,44.0,40.0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
41677,36768,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
37052,80,6,7.0,6560,11,2950,8,27,27,27,0,0,0,64,64,1500,52,52,1500,6560.0,2950.0,0,0,0,0,52480000,23600000,12,1,0,0,6,29200,26847,0,0,0,0,0,0,1,xss
53,29810,17,0.0,778,1,0,0,0,0,0,0,0,0,0,0,778,778,0,778,778.0,0.0,0,0,0,0,6224000,0,0,0,0,1,0,0,0,0,0,47094,12,3600,0,0,Benign
44814,80,6,7.0,458,5,2203,6,27,27,27,0,0,0,64,64,1500,40,40,1500,458.0,2203.0,0,0,0,0,3664000,17624000,8,0,1,1,1,29200,65535,0,0,0,0,0,0,1,injection
34494,53,17,0.0,59,1,134,1,0,0,0,0,0,0,0,0,134,59,59,134,59.0,134.0,0,0,0,0,472000,1072000,1,1,0,0,0,0,0,0,0,49757,1,7220,0,0,Benign
56887,53,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,30113,1,0,0,1,dos
50886,53,17,0.0,71,1,71,1,0,0,0,0,0,0,0,0,71,71,71,71,71.0,71.0,0,0,0,0,568000,568000,2,0,0,0,0,0,0,0,0,48566,1,0,0,1,dos
59644,14000,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
38958,5498,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
50015,53,17,0.0,65,1,65,1,0,0,0,0,0,0,0,0,65,65,65,65,65.0,65.0,0,0,0,0,520000,520000,2,0,0,0,0,0,0,0,0,5593,28,0,0,1,xss
46076,6666,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
38666,80,6,7.0,7898,11,798,9,27,27,27,0,0,0,64,64,1500,52,52,1500,7898.0,798.0,0,0,0,0,63184000,6384000,13,1,1,0,5,29200,5792,0,0,0,0,0,0,1,xss
52703,30718,6,0.0,44,1,40,1,22,2,20,0,0,0,0,0,44,40,40,44,44.0,40.0,0,0,0,0,352000,320000,2,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
50340,80,6,7.0,713,6,940,4,27,27,27,0,0,0,64,64,776,52,52,776,713.0,940.0,0,0,0,0,5704000,7520000,8,0,1,1,0,29200,5792,0,0,0,0,0,0,1,xss
44600,163,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
42235,53,17,0.0,68,1,100,1,0,0,0,0,0,0,0,0,100,68,68,100,68.0,100.0,0,0,0,0,544000,800000,2,0,0,0,0,0,0,0,0,45114,1,33,0,1,xss
53442,443,6,91.0,112,2,112,2,19,18,19,4294873,0,94,64,64,60,52,52,60,112.0,112.0,0,0,0,0,896000,8000,4,0,0,0,0,29200,28960,0,0,0,0,0,0,1,ddos
60526,80,6,7.0,623,6,733,4,27,27,27,0,0,0,64,64,601,40,40,601,623.0,733.0,0,0,0,0,4984000,5864000,8,0,1,1,0,29200,65535,0,0,0,0,0,0,1,xss
48198,80,6,7.0,421,5,811,5,27,27,27,0,0,0,64,64,595,52,52,595,421.0,811.0,0,0,0,0,3368000,6488000,8,1,0,1,0,29200,28960,0,0,0,0,0,0,1,password
64398,29372,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
26592,38302,6,0.0,48,1,40,1,22,2,20,0,0,0,0,0,48,40,40,48,48.0,40.0,0,0,0,0,384000,320000,2,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
36180,80,6,7.178,675,5,334,5,27,27,27,0,0,0,64,64,459,52,52,459,675.0,334.0,0,0,0,0,5400000,2672000,9,0,1,0,0,29200,26847,0,0,0,0,0,0,1,xss
42980,53,17,0.0,65,1,0,0,0,0,0,0,0,0,0,0,65,65,0,65,65.0,0.0,0,0,0,0,520000,0,1,0,0,0,0,0,0,0,0,21808,1,0,0,1,xss
56071,27356,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
38302,80,6,7.178,853,6,12815,12,27,27,27,0,0,0,64,64,1500,52,52,1500,853.0,12815.0,0,0,0,0,6824000,102520000,8,0,0,2,8,29200,26847,0,0,0,0,0,0,1,injection
34645,3008,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
49617,49156,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
33296,80,6,7.0,633,6,538,4,27,27,27,4294962,5,0,64,64,374,52,52,374,633.0,538.0,0,0,0,0,840000,4304000,8,0,2,0,0,29200,5792,0,0,0,0,0,0,1,xss
39815,62493,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
1003,1003,6,0.0,4000,100,0,0,2,2,0,0,0,0,234,234,40,40,0,40,4000.0,0.0,0,0,0,0,32000000,0,100,0,0,0,0,1641,0,0,0,0,0,0,0,1,dos
46504,443,6,91.0,276,5,172,3,19,18,19,4294436,531,531,64,64,60,52,52,60,276.0,172.0,0,0,0,0,0,0,8,0,0,0,0,29200,28960,0,0,0,0,0,0,1,ddos
38418,53,17,0.0,65,1,81,1,0,0,0,0,0,0,0,0,81,65,65,81,65.0,81.0,0,0,0,0,520000,648000,2,0,0,0,0,0,0,0,0,22283,1,1416,0,1,xss
56819,32773,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
443,47962,6,91.0,675,8,0,0,25,25,0,4294936,31,0,64,64,89,52,0,89,675.0,0.0,623,7,0,0,168000,0,8,0,0,0,0,243,0,28416,111,0,0,0,0,0,Benign
45462,443,6,91.0,164,3,164,3,19,18,19,4294608,359,359,64,64,60,52,52,60,164.0,164.0,0,0,0,0,0,0,6,0,0,0,0,29200,28960,0,0,0,0,0,0,1,ddos
40294,80,6,7.0,104,2,52,1,17,17,17,0,0,0,64,64,52,52,52,52,104.0,52.0,0,0,0,0,832000,416000,3,0,0,0,0,237,235,0,0,0,0,0,0,1,xss
47040,53,17,0.0,67,1,67,1,0,0,0,0,0,0,0,0,67,67,67,67,67.0,67.0,0,0,0,0,536000,536000,2,0,0,0,0,0,0,0,0,26734,1,0,0,1,dos
52900,443,6,0.0,874,7,5060,16,27,26,27,4294873,0,94,64,64,1406,52,52,1406,874.0,5060.0,0,0,2961,9,6992000,424000,9,2,11,0,1,29200,28960,0,0,0,0,0,0,1,ddos
36930,1113,6,0.0,44,1,0,0,2,2,0,0,0,0,0,0,44,44,0,44,44.0,0.0,0,0,0,0,352000,0,1,0,0,0,0,1024,0,0,0,0,0,0,0,0,Benign
55232,53,17,5.178,93,1,177,1,0,0,0,0,0,0,0,0,177,93,93,177,93.0,177.0,0,0,0,0,744000,1416000,1,1,0,0,0,0,0,0,0,47576,1,525,0,0,Benign
50045,8373,6,0.0,48,1,0,0,2,2,0,0,0,0,0,0,48,48,0,48,48.0,0.0,0,0,0,0,384000,0,1,0,0,0,0,4096,0,0,0,0,0,0,0,1,scanning
46442,80,6,7.0,703,10,811,8,27,27,27,4294498,469,469,64,64,507,40,40,507,180523.0,132679.0,0,0,0,0,2568000,3032000,16,0,2,0,0,29200,65535,0,0,0,0,0,0,1,password
51950,443,6,91.0,328,6,224,4,19,18,19,4294748,219,219,64,64,60,52,52,60,328.0,224.0,0,0,0,0,8000,8000,10,0,0,0,0,29200,28960,0,0,0,0,0,0,1,injection
58173,53,17,0.0,68,1,68,1,0,0,0,0,0,0,0,0,68,68,68,68,68.0,68.0,0,0,0,0,544000,544000,2,0,0,0,0,0,0,0,0,30928,28,0,0,1,xss
